time, Balls shot, Balls loaded, Times unjamed, Climb requests, Autoaim actions (free space), Ball count override events, Autoaim actions (pivot), Ball count reset requests, Times unjammed up, 
2020-03-05.11_35_11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_25_26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.12_01_09, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.12_02_02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_20_52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.14_03_39, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-05.11_54_38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-05.14_33_29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.11_35_27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.12_01_40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.16_59_37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.17_58_06, 0, 1, 1, 0, 0, 0, 0, 0, 0, 
2020-03-05.14_28_19, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
2020-03-03.18_33_19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_11_34, 6, 2, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.16_09_37, 23, 59, 8, 0, 2, 11, 12, 12, 0, 
2020-03-04.16_15_12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.17_23_39, 4, 1, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.18_32_03, 0, 0, 2, 0, 0, 0, 0, 0, 0, 
2020-03-04.16_12_08, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
2020-03-04.16_09_58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_36_30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_23_26, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_23_29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_52_36, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_25_23, 5, 1, 0, 0, 0, 0, 0, 0, 0, 
1969-12-31.19_00_36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.12_02_19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.17_14_44, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_32_57, 5, 1, 0, 0, 0, 0, 0, 0, 0, 
2020-03-05.11_47_29, 0, 0, 3, 0, 0, 0, 0, 0, 3, 
1969-12-31.19_01_27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.17_39_22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_36_10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-05.14_25_02, 0, 0, 0, 1, 0, 0, 0, 0, 0, 
2020-03-04.18_31_20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_05_57, 6, 2, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_35_34, 5, 1, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_03_23, 5, 1, 0, 0, 0, 0, 0, 0, 0, 
1969-12-31.19_02_07, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_30_03, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.14_04_17, 5, 1, 0, 0, 0, 0, 0, 0, 2, 
2020-03-04.17_54_42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.12_00_59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.16_11_40, 0, 0, 2, 0, 0, 0, 0, 0, 0, 
2020-03-04.16_10_27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.17_23_19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-05.11_53_47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.16_15_40, 0, 0, 1, 0, 0, 0, 0, 0, 0, 
2020-03-04.14_21_22, 1, 4, 0, 0, 0, 0, 0, 1, 0, 
2020-03-04.17_06_23, 6, 3, 0, 0, 0, 3, 5, 0, 0, 
2020-03-04.18_53_21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_10_49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_26_26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.17_39_34, 1, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_11_40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.12_01_14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_35_38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_56_05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_30_06, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.17_57_11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1969-12-31.19_00_37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.17_56_40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.18_32_17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 
2020-03-04.17_52_14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.17_42_25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_48_51, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_27_13, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.17_39_30, 4, 1, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.14_20_52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.18_36_47, 1, 1, 3, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_20_48, 3, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_14_36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_50_45, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_53_19, 4, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-05.12_01_40, 2, 2, 0, 0, 0, 0, 0, 0, 1, 
2020-03-04.18_08_31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.17_43_24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.18_32_31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1969-12-31.19_00_38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.17_40_28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-05.11_52_55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.14_08_38, 2, 2, 3, 0, 0, 0, 0, 0, 4, 
2020-03-04.18_08_26, 6, 2, 0, 0, 0, 0, 0, 0, 0, 
2020-03-05.14_22_53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.15_58_08, 21, 19, 3, 1, 0, 11, 14, 2, 0, 
2020-03-04.18_32_59, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.17_39_48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-03.14_07_53, 1, 1, 0, 0, 0, 0, 0, 0, 2, 
2020-03-04.14_21_45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
2020-03-04.18_06_02, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
